fname_c1	fname_c2	lname_c1	lname_c2	by	bm	bd
CARSTEN	NA	MEIER	NA	1949	7	22
GERD	NA	BAUER	NA	1968	7	27
ROBERT	NA	HARTMANN	NA	1930	4	30
STEFAN	NA	WOLFF	NA	1957	9	2
RALF	NA	KRUEGER	NA	1966	1	13
JUERGEN	NA	FRANKE	NA	1929	7	4
GERD	NA	SCHAEFER	NA	1967	8	1
UWE	NA	MEIER	NA	1942	9	20
DANIEL	NA	SCHMIDT	NA	1978	3	4
MICHAEL	NA	HAHN	NA	1971	2	27
PETER	NA	JUNG	NA	1988	1	9
MANFRED	NA	HOFFMANN	NA	1933	8	25
MICHAEL	NA	FISCHER	NA	1951	7	1
MANFRED	NA	BECKER	NA	1973	7	27
WALTER	NA	SCHNEIDER	NA	1953	8	26
MARTIN	NA	SCHROEDER	NA	1988	2	3
ALEXANDER	NA	MUELLER	NA	1974	9	9
HANS	NA	SCHAEFER	NA	2003	6	22
STEFAN	NA	MUELLER	NA	1949	8	13
GERHARD	NA	SCHAEFER	NA	1964	4	29
DENNIS	NA	SCHAEFER	NA	1956	4	11
THORSTEN	NA	KLEIN	NA	1966	9	20
PETER	NA	BRANDT	NA	1997	4	1
WALTER	NA	FISCHER	NA	1997	4	7
MATTHIAS	NA	HAAS	NA	1955	7	8
WOLFGANG	NA	WOLF	NA	1961	12	28
BENJAMIN	NA	MUELLER	NA	1997	4	19
JAN	JUERGEN	SCHAEFER	NA	1946	5	25
PETER	NA	WINTER	NA	1958	8	18
SVEN	NA	BRAUN	NA	1994	1	22
WOLFGANG	NA	LEHMANN	NA	1971	1	3
CHRISTIAN	JENS	SCHULZ	NA	2008	5	18
ANDREAS	FRANK	SCHUMACHER	NA	1928	7	7
HEINZ	NA	BOEHM	NA	1938	12	20
HARALD	NA	BECKER	NA	1951	2	24
KURT	NA	SCHMIDT	NA	1998	4	27
HARTMHUT	NA	HOFFMSNN	NA	1929	12	29
HORST	NA	ENGEL	NA	1999	2	27
DIETER	NA	NEUMANN	NA	1994	6	20
WOLFGANG	NA	SCHMITT	NA	1986	11	29
SVEN	NA	SCHUMACHER	NA	2008	2	27
DIETER	NA	WEISS	NA	1945	1	10
GERD	NA	BAUERH	NA	1968	7	27
THORSTEN	NA	HARTMANN	NA	1935	3	11
FRIEDRICH	NA	PETERS	NA	1954	10	16
HERMANN	NA	MAIER	NA	1999	10	12
HELMUT	NA	MUELLER	NA	1930	7	30
WERNER	NA	KOERTIG	NA	1965	11	28
WOLFGANG	NA	SEIDEL	NA	1974	2	5
STEFAN	NA	MUELLER	NA	1957	6	7
DIETER	NA	WINTER	NA	2000	8	20
HOLGER	NA	SCHNEIDER	NA	1931	4	2
JUERGEN	NA	SCHMIDT	NA	1956	7	23
THORSTEN	NA	WEBER	NA	1965	11	21
JENS	NA	SCHMIDT	NA	1961	1	10
PETER	GUENTHER	ZIMMERMANN	NA	1996	2	10
MARTIN	NA	HERRMANN	NA	1944	8	13
FRANK	NA	MUELLDR	NA	1978	5	20
BERND	NA	JUNG	KLEIN	1935	1	14
THORSTEN	NA	FUCHS	NA	1952	9	27
ANDRE	NA	FISCHER	NA	1943	6	25
SIEGFRIED	NA	BRANDT	NA	1982	2	14
DIETER	NA	BOEHM	NA	1972	7	1
JUERGEN	NA	MEIER	NA	1983	7	7
OTTO	NA	WERNER	NA	1926	4	12
KARL	NA	WEBER	NA	1934	10	14
GERHARD	NA	MEYER	NA	1959	12	3
PETEVR	NA	FUCHS	NA	1972	9	12
GUENTHER	NA	ZIMMERMANN	NA	1999	1	19
PETER	NA	SCHULZ	NA	1927	7	19
CHRISTIAN	NA	GROSS	NA	1959	4	7
HARTMUT	NA	HOFFMANN	NA	1929	12	29
JUERGEN	NA	MUELLER	NA	1946	11	22
JOHANNES	NA	MUELLER	NA	1963	12	16
KARL	NA	KAISER	NA	1966	9	12
ANDREAS	NA	ZIEGLER	NA	1964	5	5
HOLGER	NA	FISCHER	NA	1984	4	15
STEFAN	NA	BRAUN	NA	1997	12	30
ANDREAS	NA	KUEHN	NA	1950	11	2
HORST	NA	KRAUSE	NA	1946	8	28
MANFRED	NA	KLEIN	NA	1969	8	3
FRANK	NA	SCHMIDT	NA	2003	6	13
